time: 16/01/2020 - 00:10:57

Iter =   1310/ 50000, loss_seg = 0.6522 loss_adv = 0.0012, loss_weight = 0.0198, loss_D_s = 0.6983 loss_D_t = 0.4069
Iter =   1320/ 50000, loss_seg = 0.2560 loss_adv = 0.0017, loss_weight = 0.0198, loss_D_s = 0.6084 loss_D_t = 0.3173
Iter =   1330/ 50000, loss_seg = 0.3616 loss_adv = 0.0009, loss_weight = 0.0198, loss_D_s = 0.8374 loss_D_t = 0.5467
Iter =   1340/ 50000, loss_seg = 0.4898 loss_adv = 0.0009, loss_weight = 0.0198, loss_D_s = 0.8612 loss_D_t = 0.7113
Iter =   1350/ 50000, loss_seg = 0.4663 loss_adv = 0.0013, loss_weight = 0.0198, loss_D_s = 1.0004 loss_D_t = 0.5121
Iter =   1360/ 50000, loss_seg = 0.3715 loss_adv = 0.0009, loss_weight = 0.0198, loss_D_s = 0.6545 loss_D_t = 0.5437
Iter =   1370/ 50000, loss_seg = 0.2385 loss_adv = 0.0011, loss_weight = 0.0198, loss_D_s = 0.4177 loss_D_t = 0.4558
Iter =   1380/ 50000, loss_seg = 0.6420 loss_adv = 0.0014, loss_weight = 0.0198, loss_D_s = 0.4161 loss_D_t = 0.3442
Iter =   1390/ 50000, loss_seg = 0.4181 loss_adv = 0.0011, loss_weight = 0.0198, loss_D_s = 0.5514 loss_D_t = 0.5011
Iter =   1400/ 50000, loss_seg = 1.5348 loss_adv = 0.0014, loss_weight = 0.0198, loss_D_s = 0.7688 loss_D_t = 0.3522
Iter =   1410/ 50000, loss_seg = 0.2606 loss_adv = 0.0009, loss_weight = 0.0198, loss_D_s = 0.3587 loss_D_t = 0.7844
Iter =   1420/ 50000, loss_seg = 0.2907 loss_adv = 0.0015, loss_weight = 0.0198, loss_D_s = 0.4130 loss_D_t = 0.3116
Iter =   1430/ 50000, loss_seg = 0.3258 loss_adv = 0.0012, loss_weight = 0.0198, loss_D_s = 0.6913 loss_D_t = 0.4325
Iter =   1440/ 50000, loss_seg = 0.5784 loss_adv = 0.0008, loss_weight = 0.0198, loss_D_s = 0.6681 loss_D_t = 0.7711
Iter =   1450/ 50000, loss_seg = 0.2212 loss_adv = 0.0016, loss_weight = 0.0198, loss_D_s = 0.3943 loss_D_t = 0.3111
Iter =   1460/ 50000, loss_seg = 0.4712 loss_adv = 0.0015, loss_weight = 0.0198, loss_D_s = 0.6235 loss_D_t = 0.3304
Iter =   1470/ 50000, loss_seg = 0.4276 loss_adv = 0.0013, loss_weight = 0.0198, loss_D_s = 0.5632 loss_D_t = 0.4524
Iter =   1480/ 50000, loss_seg = 0.2406 loss_adv = 0.0016, loss_weight = 0.0198, loss_D_s = 0.6644 loss_D_t = 0.3220
Iter =   1490/ 50000, loss_seg = 0.2694 loss_adv = 0.0019, loss_weight = 0.0198, loss_D_s = 0.3691 loss_D_t = 0.3598
Iter =   1500/ 50000, loss_seg = 0.2908 loss_adv = 0.0014, loss_weight = 0.0198, loss_D_s = 0.2953 loss_D_t = 0.4363
Iter =   1510/ 50000, loss_seg = 0.6864 loss_adv = 0.0016, loss_weight = 0.0198, loss_D_s = 0.9124 loss_D_t = 0.3038
Iter =   1520/ 50000, loss_seg = 0.3803 loss_adv = 0.0012, loss_weight = 0.0198, loss_D_s = 0.4581 loss_D_t = 0.5204
Iter =   1530/ 50000, loss_seg = 0.2886 loss_adv = 0.0012, loss_weight = 0.0198, loss_D_s = 0.8544 loss_D_t = 0.4373
Iter =   1540/ 50000, loss_seg = 0.4377 loss_adv = 0.0010, loss_weight = 0.0198, loss_D_s = 0.7461 loss_D_t = 0.5174
Iter =   1550/ 50000, loss_seg = 0.3043 loss_adv = 0.0009, loss_weight = 0.0198, loss_D_s = 0.7422 loss_D_t = 0.5908
Iter =   1560/ 50000, loss_seg = 0.4964 loss_adv = 0.0010, loss_weight = 0.0198, loss_D_s = 0.4583 loss_D_t = 0.5280
Iter =   1570/ 50000, loss_seg = 0.3219 loss_adv = 0.0012, loss_weight = 0.0198, loss_D_s = 0.4992 loss_D_t = 0.4344
Iter =   1580/ 50000, loss_seg = 0.2696 loss_adv = 0.0006, loss_weight = 0.0198, loss_D_s = 0.3178 loss_D_t = 1.1763
Iter =   1590/ 50000, loss_seg = 0.5322 loss_adv = 0.0013, loss_weight = 0.0198, loss_D_s = 0.6967 loss_D_t = 0.4176
Iter =   1600/ 50000, loss_seg = 0.2586 loss_adv = 0.0009, loss_weight = 0.0198, loss_D_s = 0.1476 loss_D_t = 0.6838
Iter =   1610/ 50000, loss_seg = 0.4031 loss_adv = 0.0012, loss_weight = 0.0198, loss_D_s = 0.8189 loss_D_t = 0.3994
Iter =   1620/ 50000, loss_seg = 0.3856 loss_adv = 0.0011, loss_weight = 0.0198, loss_D_s = 0.3382 loss_D_t = 0.4657
Iter =   1630/ 50000, loss_seg = 0.2303 loss_adv = 0.0012, loss_weight = 0.0198, loss_D_s = 0.3282 loss_D_t = 0.5170
Iter =   1640/ 50000, loss_seg = 0.3065 loss_adv = 0.0010, loss_weight = 0.0198, loss_D_s = 0.5605 loss_D_t = 0.5610
Iter =   1650/ 50000, loss_seg = 0.3668 loss_adv = 0.0010, loss_weight = 0.0198, loss_D_s = 0.3084 loss_D_t = 0.6906
Iter =   1660/ 50000, loss_seg = 1.4154 loss_adv = 0.0013, loss_weight = 0.0198, loss_D_s = 0.8278 loss_D_t = 0.4886
