DateTime: 05/02/2020 - 12:10:30
Random seed: 1234
###########   TRAINING STARTED  ############
Iter =  46610/ 48000, loss_seg = 0.1575 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0006, loss_D_s = 0.2292 loss_D_t = 0.3507
Iter =  46620/ 48000, loss_seg = 0.0943 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0006, loss_D_s = 0.2946 loss_D_t = 0.1636
Iter =  46630/ 48000, loss_seg = 0.0876 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0006, loss_D_s = 0.1880 loss_D_t = 0.2412
Iter =  46640/ 48000, loss_seg = 0.1073 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0006, loss_D_s = 0.2041 loss_D_t = 0.2244
Iter =  46650/ 48000, loss_seg = 0.1550 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0006, loss_D_s = 0.2348 loss_D_t = 0.1786
Iter =  46660/ 48000, loss_seg = 0.1869 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0006, loss_D_s = 0.1045 loss_D_t = 0.4061
Iter =  46670/ 48000, loss_seg = 0.0882 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0006, loss_D_s = 0.2840 loss_D_t = 0.2458
Iter =  46680/ 48000, loss_seg = 0.3824 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0006, loss_D_s = 0.0885 loss_D_t = 0.2916
Iter =  46690/ 48000, loss_seg = 0.1528 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0006, loss_D_s = 0.2125 loss_D_t = 0.4859
Iter =  46700/ 48000, loss_seg = 0.2029 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0006, loss_D_s = 0.2412 loss_D_t = 0.2283
Iter =  46710/ 48000, loss_seg = 0.1454 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0006, loss_D_s = 0.1296 loss_D_t = 0.2177
